molecule_id,smiles,taste
train_0,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C3,6
train_1,Nc1ccccc1NS(=O)(=O)[O-].[Na+],3
train_2,O=C1NS(=O)(=O)c2cc(O)ccc21,6
train_3,OCC1OC(Oc2ccc3ccccc3c2)C(O)C(O)C1O,0
train_4,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,0
train_5,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-],0
train_6,CC1=C(C(C)C)OS(=O)(=O)[N-]C1=O.[Na+],6
train_7,CC=C(C)C(=O)OC1CC2C(CC=C3CC(OC4CC(OC)C(OC5CC(OC)C(OC6OC(C)C(O)C(OC)C6O)C(C)O5)C(C)O4)CCC32C)C2(O)CCC(C(C)=O)C12C,0
train_8,COc1ccc(C2OCc3ccccc3S2)cc1OC(=O)Nc1ccccc1,6
train_9,N#Cc1ccc(NC(=O)C(CCC(=O)O)NC(=O)C(F)(F)F)cc1,6
train_10,CCCOc1ccc(CCc2ccccc2)cc1O,7
train_11,C=C1C(OC(C)=O)CCC(C)=CC2OC(=O)C(C)C2CC1OC(C)=O,0
train_12,N#Cc1ccc(NC(=O)NC(CC(=O)O)Cc2ccccc2)cc1,6
train_13,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,0
train_14,CC1CCSCC1NS(=O)(=O)[O-].[Na+],3
train_15,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0
train_16,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5OC5OC(C)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C3,6
train_17,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0
train_18,C=CC1C2=CCOC(=O)C2=COC1OC1OC(CO)C(O)C(O)C1O,0
train_19,ON=CC1=CC2C=CC1CC2,0
train_20,CCOC(=O)c1ccccc1,0
train_21,O=C(O)CCC(=O)O,5
train_22,O=C1[N-]S(=O)(=O)c2ccccc21.O=C1[N-]S(=O)(=O)c2ccccc21.[Ca+2],6
train_23,O=C(O)c1ccccc1C(=O)c1ccc(Oc2ccccc2)cc1,7
train_24,Cl.c1ccc(CC2=NCCN2)cc1,0
train_25,N#Cc1ccc(NC(=O)N(CCC(=O)O)C2CCCCC2)cc1,0
train_26,CC(C)CC(=O)OCC(CO)NC(=O)C(N)CC(=O)O,6
train_27,O=P(O)(O)O,5
train_28,O=C1OC(C(O)CO)C(O)=C1O,5
train_29,CCOc1ccc([N+](=O)[O-])cc1N,6
train_30,NCCCC(=O)O,5
train_31,CC1C(=O)OC2CC34C5CC(C(C)(C)C)C36C(OC(=O)C6O)OC4(C(=O)O5)C21O,0
train_32,CCOC(=O)CCCNC(=O)OC1CC(C)CCC1C(C)C,8
train_33,CC1CCC(C(C)C)C(OCC(O)CO)C1,1
train_34,NC(CC(=O)O)C(=O)NCCc1ccc(O)cc1,6
train_35,CCC12CCCN(CCc3c([nH]c4ccccc34)CC1)C2,0
train_36,CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1.O=C([O-])c1ccccc1,0
train_37,CC(=O)OCc1ccccc1,2
train_38,O=C1C(O)C(CO)OC(OC2(CO)OC(CO)C(O)C2O)C1O,6
train_39,COc1ccc(CCc2ccc(O)c(OC)c2)cc1O,7
train_40,CC1=CCSCC1,0
train_41,NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2cccnc2)cc1,6
train_42,NC(C(=O)[O-])C(O)CC(=O)O.[Na+],8
train_43,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,0
train_44,N#Cc1ccc(NC(=O)NC(CCc2ccccc2)CC(=O)O)cc1,6
train_45,C1CCN2CC3CC(CN4CCCCC34)C2C1.O=S(=O)(O)O,0
train_46,COC(=O)CCNC(=O)C(N)CC(=O)O,6
train_47,CC(C)=CCC12CC3C(CC(C(C)(C)O)C3(C)C)(C(=O)C(C(=O)C(C)C)=C1O)C2=O,0
train_48,S=C=NCCc1ccccc1,0
train_49,O=C1CCCC2C3CC(CN12)C1CC(O)CCN1C3,0
train_50,CC(C)C(=O)C1=C(O)C2(O)C(CC3C(C)(C)OC(O)CC32O)C1=O,0
train_51,O=[N+]([O-])c1cc(NS(=O)(=O)[O-])ccc1Cl.[Na+],2
train_52,COC(=O)Cc1cn(C2OC(CO)C(O)C(O)C2O)c2ccccc12,1
train_53,NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,7
train_54,CC=C(C)C(C)=NO,3
train_55,CC(C)OC(=O)C(NC(=O)C(N)CC(=O)O)C(C)C,6
